sgRNA,Cell_line,Replicate,Timepoint,gene,Treatment,diff,type,TP,FP,AUC
sgUBL5_3,Hbe,R2,T3,UBL5,No,-2.43421529281028,+,0.00170068027210884,0,0.910426083184952
sgTRRAP_2,Hbe,R2,T4,TRRAP,No,-2.30422368640782,+,0.00170068027210884,0,0.946659704150116
sgATP6V0C_4,Hbe,R2,T6,ATP6V0C,No,-2.29957279067765,+,0.00170068027210884,0,0.959497557412227
sgXPO1_2,Hbe,R1,T3,XPO1,No,-2.26071941262896,+,0.00170068027210884,0,0.922673263936447
sgSNRPD2_1,Hbe,R2,T6,SNRPD2,No,-2.24103975999162,+,0.00340136054421769,0,0.959497557412227
sgTRRAP_2,Hbe,R2,T6,TRRAP,No,-2.23569644737056,+,0.00510204081632653,0,0.959497557412227
sgATP6V0C_4,Hbe,R2,T4,ATP6V0C,No,-2.22820150491568,+,0.00340136054421769,0,0.946659704150116
sgPCNA_4,Hbe,R1,T6,PCNA,No,-2.22663045307958,+,0.00170068027210884,0,0.940955576861617
sgC9orf16_5,Hbe,R1,T4,C9orf16,No,-2.22535510867248,-,0,0.00167785234899329,0.955950668858147
sgCTDP1_4,Hbe,R2,T6,CTDP1,No,-2.21683670460603,+,0.00680272108843537,0,0.959497557412227
sgC9orf16_5,Hbe,R1,T6,C9orf16,No,-2.2104844905661,-,0.00170068027210884,0.00167785234899329,0.940955576861617
sgPCNA_4,Hbe,R1,T5,PCNA,No,-2.20741932044392,+,0.00170068027210884,0,0.948229123864311
sgMCM2_4,Hbe,R1,T6,MCM2,No,-2.20608157983133,+,0.00340136054421769,0.00167785234899329,0.940955576861617
sgVPS25_3,Hbe,R2,T3,VPS25,No,-2.20111943529462,+,0.00340136054421769,0,0.910426083184952
sgUTP23_6,Hbe,R2,T6,UTP23,No,-2.19642371992883,+,0.00850340136054422,0,0.959497557412227
sgTRAPPC3_5,Hbe,R2,T4,TRAPPC3,No,-2.18345240703671,+,0.00510204081632653,0,0.946659704150116
sgUBL5_3,Hbe,R2,T4,UBL5,No,-2.17577122580389,+,0.00680272108843537,0,0.946659704150116
sgSNRPD2_3,Hbe,R2,T6,SNRPD2,No,-2.16972825510227,+,0.0102040816326531,0,0.959497557412227
sgRUVBL2_5,Hbe,R1,T6,RUVBL2,No,-2.16612388567276,+,0.00510204081632653,0.00167785234899329,0.940955576861617
sgPCNA_4,Hbe,R1,T3,PCNA,No,-2.16402102347609,+,0.00340136054421769,0,0.922673263936447
sgVPS25_3,Hbe,R2,T6,VPS25,No,-2.16350468499282,+,0.0119047619047619,0,0.959497557412227
sgPSMB3_4,Hbe,R1,T6,PSMB3,No,-2.16045425251883,+,0.00680272108843537,0.00167785234899329,0.940955576861617
sgTRAPPC3_5,Hbe,R2,T6,TRAPPC3,No,-2.15902930930815,+,0.0136054421768707,0,0.959497557412227
sgXPO1_3,Hbe,R2,T3,XPO1,No,-2.1526752753002,+,0.00510204081632653,0,0.910426083184952
sgUSP39_6,Hbe,R2,T6,USP39,No,-2.1505600721641,+,0.0153061224489796,0,0.959497557412227
sgPSMB3_5,Hbe,R1,T3,PSMB3,No,-2.15018324314587,+,0.00510204081632653,0,0.922673263936447
sgIMP4_1,Hbe,R2,T6,IMP4,No,-2.1465329695215,+,0.0170068027210884,0,0.959497557412227
sgTRAPPC3_5,Hbe,R2,T6,TRAPPC3,No,-2.14560867991666,+,0.0187074829931973,0,0.959497557412227
sgBUD31_1,Susa,R1,T5,BUD31,No,-2.14181475613905,+,0.00170068027210884,0,0.94936481303931
sgATP6V0C_5,Hbe,R2,T4,ATP6V0C,No,-2.13429370069455,+,0.00850340136054422,0,0.946659704150116
sgATP6V0C_5,Hbe,R2,T5,ATP6V0C,No,-2.13289029005612,+,0.00170068027210884,0,0.954238574624481
sgATP6V0C_3,Hbe,R2,T4,ATP6V0C,No,-2.131124711469,+,0.0102040816326531,0,0.946659704150116
sgPSMB3_6,Susa,R1,T3,PSMB3,No,-2.12495671098016,+,0.00170068027210884,0,0.877981897456969
sgATP6V0C_5,Hbe,R1,T6,ATP6V0C,No,-2.12092918151037,+,0.00850340136054422,0.00167785234899329,0.940955576861617
sgRUVBL2_3,Hbe,R2,T6,RUVBL2,No,-2.12056933462969,+,0.0204081632653061,0,0.959497557412227
sgPSMB3_1,Hbe,R2,T4,PSMB3,No,-2.12006148986557,+,0.0119047619047619,0,0.946659704150116
sgUBL5_2,Hbe,R1,T5,UBL5,No,-2.11520906657219,+,0.00340136054421769,0,0.948229123864311
sgXPO1_2,Hbe,R2,T3,XPO1,No,-2.11025794846615,+,0.00680272108843537,0,0.910426083184952
sgXPO1_3,Hbe,R2,T6,XPO1,No,-2.10984156555514,+,0.022108843537415,0,0.959497557412227
sgC9orf114_3,Hbe,R1,T6,C9orf114,No,-2.10783209569049,+,0.0102040816326531,0.00167785234899329,0.940955576861617
