D115R13|Replica1-WT-J14
D115R11|Replica1-WT-J9
D115R02|Replica1-clone50-J4
D115R03|Replica1-clone50-J7
D115R04|Replica1-clone50-J9
D115R26|Replica2-WT-J11
D115R20|Replica2-clone50-J14
D115R18|Replica2-clone50-J9
D115R15|Replica2-clone50-J1
D115R23|Replica2-WT-J4
D115R24|Replica2-WT-J7
D115R16|Replica2-clone50-J4
D115R09|Replica1-WT-J4
D115R12|Replica1-WT-J11
D115R27|Replica2-WT-J14
D115R19|Replica2-clone50-J11
D115R07|Replica1-clone50-J16
D115R08|Replica1-WT-J1
D115R28|Replica2-WT-J16
D115R01|Replica1-clone50-J1
D115R17|Replica2-clone50-J7
D115R21|Replica2-clone50-J16
D115R22|Replica2-WT-J1
D115R06|Replica1-clone50-J14
D115R05|Replica1-clone50-J11
D115R25|Replica2-WT-J9
D115R10|Replica1-WT-J7
D115R14|Replica1-WT-J16
